,Keyword,公司名称,公司规模,地区,学历要求,工作经验,职位名称,职位描述,职位薪资,融资情况,Python,Sql,R,Java,Hadoop,C,Spark,Excel,Hive,Sas
232,数据分析,云迹科技,100-499人,上海 徐汇区 漕河泾,本科,3-5年,机器人数据分析工程师,岗位职责：1.负责机器人数据的收集分析相关工作2.数据收集处理、报表展示等系统的开发和维护任职要求:1.本科及以上学历，计算机相关专业2.3年以上工作经验3.精通Linux平台下的c/c++/java/python等至少一种开发4.精通mysql 数据库，能熟练进行sql查询优化5.熟练使用Linux操作系统，熟悉常用的Shell命令6.熟悉数据挖掘相关原理与算法优先7.熟悉elasticsearch/solr/lucene优先8.有大数据相关经验，熟悉mapreduce等计算框架优先,10k-15k,B轮,1,1,0,1,0,1,0,0,0,0
233,数据分析,门迪智能,20-99人,上海 浦东新区 张江,本科,1-3年,数据分析,1.?一年以上相关工作经验2.快速理解客户业务，深度自主学习，根据客户产品特点和我方产品特点提出相应解决方案；3.??辅助公司产品业务流程中的各项环节，如需求收集、方案制定、数据处理、统计分析等；4.??熟练使用Excel相关函数及公式尤佳；5.??学习能力强、积极主动、思维活跃、认真踏实；,6k-8k,A轮,0,0,0,0,0,0,0,1,0,0
234,数据分析,普天同朗,0-20人,上海 普陀区 金沙江路,本科,1-3年,数据分析师,数据挖掘数据分析数据处理生成数据整理报告,6k-12k,不需要融资,0,0,0,0,0,0,0,0,0,0
235,数据分析,平安普惠投资咨询有限公司,10000人以上,上海  ,本科,1年以内,数据分析师,"1.?对不同产品的催收数据进行分析，根据产品的特点制定差异化的催收策略；2.?建立客户分级模型，根据客户的风险等级制定差异化的催收策略；3.?设计，产出催收报表，追踪催收绩效；4.?编制IT开发需求，不断优化催收系统各项功能，提高系统的科技化和智能化水平；5.?设计催收团队考核和激励方案，提高催收产能；?任职要求：1.?教育程度：大学本科以上学历，数学，统计学，金融，经济，计算机相关专业；2.?专业能力：熟练使用SAS,R等统计软件，有大数据分析经验或统计建模经验优先；3.?核心能力：工作认真，细致，良好的沟通和协调能力，能承受较大的工作压力；",7k-14k,已上市,0,0,1,0,0,0,0,0,0,1
236,数据分析,上海源石数据,100-499人,上海 徐汇区 漕宝路,大专,经验不限,数据分析工程师,"岗位职责：1.完善客户评分及业务分析体系；2.基于大数据对于用户信用数据进行综合分析处理，从数据中挖掘有效的规则3.建立实时业务风险监控体系，跟踪核心业务指标变化，通过数据分析定位问题，并给予解决方案建议；4.针对历史风险案件进行深度挖掘，刻画用户特征和作案链路，制定前瞻性的风控策略；5.相关的其它工作内容。岗位要求：1. 对机器学习和大数据行业充满兴趣，愿意不断学习新的知识，有较强快速学习能力；2. 熟悉机器学习常用算法及其原理，例如LR、GBDT、RF、SVM等有很好的理解；3.?熟悉机器学习算法模型的构建流程，数据处理方法；4.?具备较好的特征工程与特征处理能力；5.?至少能熟练使用Python，?R，?SAS中任一种；能熟练使用SQL，有使用Sklearn、XGboost、Pandas，?keras等常见python包的经验；?6.?具有较好的逻辑分析能力、沟通能力和文字表达能力，良好的执行力；7.?能够积极创新，?乐于面对挑战，负责敬业,优秀的团队合作精神；诚实，勤奋，严谨；",12k-24k,B轮,1,1,1,0,0,0,0,0,0,1
237,数据分析,易辟电商,100-499人,上海 黄浦区 外滩,大专,1-3年,数据分析员/统计员,"岗位职责：1.负责供应链部门的数据提取，汇总，分析，处理，输出数据分析报告。2.能够娴熟的将自己对供应链各环节的深刻认识运用到供应链数据分析中，协助部门领导不断完善业务分析和预警体系。3.赋能数据分析能力给到部门同事，优化部门数据分析和处理能力。4.参与供应链业务改善，利用数据分析，改善第三方仓的运营管理。5.完成上级交办其他各项工作。任职资格：1. 统计、数学、计算机相关专业，熟悉经济、商业、管理知识更佳，专科及以上学历，至少1年数据分析工作经验；2. 熟悉数据库基本原理和结构，能熟练精通excel公式函数（懂SAS,R,Python等语言的更佳），独立且高效地完成数据的提取及分析；3. 熟悉数据清洗、分析、挖掘；并熟悉常用的数据挖掘方法论；4. 良好的数据敏感度，能从复杂的商业问题中，通过数据方式分析核心问题，并用简洁而清晰的方式呈现数据分析背后的商业逻辑和相关洞建；有出色的结构化思维能力；5. 有良好的跨团队、部门沟通及资源整合能力，能够独立开展研究项目；6. 优良的服务意识；细心，能承受较强的工作压力，敬业、责任心强、积极乐观；",6k-10k,未融资,1,0,1,0,0,0,0,1,0,1
238,数据分析,拼多多,1000-9999人,上海 长宁区 天山路,本科,3-5年,数据分析师（智能客服方向）,岗位职责：1. 理解电商平台智能客服业务，通过数据分析和挖掘，实现客服体系的系统化和智能化；2. 负责服务业务的指标体系建立，分析和制定智能策略，并持续迭代优化；3. 负责知识推荐、智能问答系统等算法分析，建立A/B Test迭代体系；3. 与研发、算法、产品、业务团队一起推进智能客服产品最终落地，实现商业价值。任职要求： 1. 本科以上学历，数学、统计学、计算机、信息技术等相关专业，逻辑能力强，对数据敏感并有极大兴趣；2. 熟练掌握SQL开发，熟悉数据仓库系统，有Hive、Python、机器学习算法基础者加分；3. 具有良好的沟通能力、逻辑分析能力，在知识推荐、智能问答系统项目经验者加分。,20k-30k,已上市,1,1,0,0,0,0,0,0,1,0
239,数据分析,盒马生鲜,10000人以上,上海 长宁区 曹家渡,本科,3-5年,数据分析师,"必须有java基础1. 构建全面的、准确的、能反映服务业务线特征的整体指标体系, 并基于业务监控指标体系，及时发现与定位业务问题；2. 通过专题分析，对业务问题进行深入分析，为公司运营决策、产品方向、销售策略提供数据支持；3. 沉淀分析思路与框架， 提炼数据产品需求，与相关团队（如技术开发团队） 协作并推动数据产品的落地；4. 与相关团队协作进行数据建模工作，推动业务部门的数据化运营；5. 与相关团队协作组织数据技术与产品相关的理念、技能、工具的培训。职位描述1. 统计、数学、信息技术、生物统计本科以上学历，3年以上相关工作经历；2. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题；3. 良好的数据敏感度,能从海量数据提炼核心结果，有丰富的数据分析经验；4. 熟练运用SQL，能高效的与数据技术团队进行沟通；5. 有丰富的跨团队、部门的项目资源整合能力，能够独立开展研究项目；6. 有零售商品分析背景、电商背景优先。",18k-36k,不需要融资,0,1,0,1,0,0,0,0,0,0
240,数据分析,高顿教育集团,1000-9999人,上海 虹口区 虹口足球场,本科,经验不限,数据分析,岗位职责：1、负责公司产品和业务体系相关的数据收集、分析和管理，撰写并解读分析报告；2、运用数据平台进行数据挖掘，研发数据在公司产品和业务体系的应用以及数据可视化；3、其他数据分析的相关工作。任职要求：1、本科及以上学历，统计、概率统计、数学、商业分析或教育统计学相关专业优先考虑；2、具备1年以上数据分析领域相关工作经验，熟悉各类统计方法和统计工具（EXCEL、SPSS等）的应用；3、具有优秀的逻辑思维能力、敏锐的观察力、良好的数据需求分析能力，有良好的理解、沟通以及结构化思考能力；4、具备良好的团队协作、沟通和执行能力，工作细致耐心，具备坚持不懈的执行力。,7k-9k,D轮及以上,0,0,0,0,0,0,0,1,0,0
241,数据分析,上海亿阁信息科技...,20-99人,上海 宝山区 淞南,本科,经验不限,数据分析师,岗位职责：1.负责公司数据的分析，总结；2.数据部数据库的建设，完善；3.协助算法工程师，进行算法的修正、实现；4.协调公司业务内，数据结构、字段完整性、规范化建设；5.了解公司业务流程，对数据提出完善意见。任职要求：1.本科以上学历，应届生也可；2.熟练使用办公软件、数据分析软件（SPSS、SAS、Matlab等）3.熟悉数据库（Oracle，MySqle等）；4.对数据敏感，精通数据分析，善于发现数据，探索数据；5.对数据结构，算法有一定的了解，熟悉至少一门编程语言；6.理解尊重公司文化，业务。,5k-10k,A轮,0,0,0,0,0,0,0,0,0,1
242,数据分析,携程旅行网,10000人以上,上海 长宁区 华漕,本科,1-3年,高级数据分析师（偏机器学习方向）,工作职责：1、	用机器学习的方法解决OTA行业酒店业务所产生的服务问题，提高用户服务体验。2、	能够独立分析业务问题，将业务问题转化为机器学习模型，提取特征变量，构造衍生变量，独立进行算法模型开发和工程化；3、	研究机器学习模型优化技巧，提高机器学习模型效果；4、保持关注前沿进展，将前沿的机器学习/人工智能方法引入到项目实践中。 任职资格： 1）全日制本科毕业工作3年或者研究生毕业工作1年以上；数学/统计/计算机类等相关专业背景；本科为211及其以上尤佳。2）有1年及其以上机器学习模型工作经验，熟悉模型优化技巧，有xgboost/gbm/ RandomForest模型项目实践经验尤佳。 3） 机器学习，统计学等基础知识扎实。4）至少熟练运用R语言/python/spark中的一种编程语言，熟练运用hive/sql编程。5)自学能力较好，在模型优化或者计算机工程方面能够与团队成员一起攻克难题。,15k-20k,已上市,1,1,1,0,0,0,1,0,1,0
243,数据分析,壹米滴答,10000人以上,上海 青浦区 徐泾,本科,1-3年,物流数据分析,"请问有没有颜值上线的小哥哥小姐姐啊！本尊这星期再招不到人要被打啦！你们赶紧投我简历啊！岗位职责：1深入理解业务模式 建立业务线的关键运营指标和报表, 井利用数据分析的结果优化运营效率, 提供商决策的数据支持和建议2,基于对日常数据与行业数据的持续挖掘, 洞察业务发展趋势与变化,甄别业务发展风险与机会点3.统筹协调管理城配业务运营任职标准：1有丰富数据分析经验, 了解统计学的基本知识加分,了解财务管理的基本加分:有SQL/pytion经验加分2.本科及以上学历 具备2年及以上同城配送项目经验,对业务模式搭建有理解3对商业和业务浚辑缴感,具备良好的设辑分析能力和系统性思维能力,良好的跨团队的沟通能力4,具备财务分析经验优先5.难捷城配/云鸟/驹马/美团等tob端企业末端模式研究的职能人员优先",8k-12k,C轮,0,1,0,0,0,0,0,0,0,0
244,数据分析,晶赞科技,100-499人,上海 静安区 共和新路,本科,3-5年,数据分析师,工作职责：1、负责政务数据/商业数据的研究和分析。例如，通过政务公开数据的挖掘和分析，形成主题研究报告； 2、设计并规划相关数据分析项目的可行性数据框架，同时确保该设计方案的最终实施；3、通过DMP数据管理平台，进行用户数据、行为数据、商品数据、消费数据等各类数据的分析，进一步挖掘用户属性、用户喜好、潜在需求、忠诚度、商业选址等相关数据，并形成相应的数据分析报告； 4、构建用户行为建模、业务数据分析模型、用户评估体系等，支持个性化项目； 5、了解客户相关需求，与多部门（业务部门和研发部等）密切沟通，负责相关数据的提取、查询、处理、分析等工作；6、其他数据分析相关工作；任职资格：1、本科及以上学历，硕士及计算机、经济、统计、数学、软件工程、信息管理等相关专业为佳； 2、有3年以上工作经验；3、有较强的数据敏感度和逻辑分析能力。能梳理特定行业业务数据指标，构建业务数据分析体系。4、熟练掌握Excel的数据处理功能，并能独立设计撰写分析报告；5、会运用常规的统计学方法与分析算法（如分类、聚类、回归、关联规则、社会网络模型、抽样工具、定类分析、决策支持等）； 6、有责任心、良好的沟通能力及心理承受能力， 较高的团队合作能力和解决问题能力，可以快速处理临时的任务需求；7、满足以下任一条件者，可优先考虑：有数据分析或咨询行业相关经验、熟悉大数据相关技术、掌握某种统计编程语言R、Python等、或可熟练使用SPSS、SAS、MATLAB等相关数据分析软件。,15k-25k,D轮及以上,1,0,1,0,0,0,0,1,0,1
245,数据分析,律新社,20-99人,上海  ,硕士,5-10年,数据分析师,能对法律服务行业数据做搜索，分析，撰写报告。,10k-18k,天使轮,0,0,0,0,0,0,0,0,0,0
246,数据分析,触宝,100-499人,上海 徐汇区 虹梅路,本科,1-3年,数据分析师,岗位职责：1、构建全面准确，监控产品核心特征的数据指标体系；2、监控反馈运营进展效果，发现问题并快速定位解决；3、深度过滤分析数据，如获客/转化/活跃/留存/召回等；4、精通LTV/ROI等算法模型，用图表将数据可视化展现；5、定期输出报告：如产品改版，运营活动、竞品调研等。任职要求：1、三年以上数据分析经验，本科及以上学历，数学、统计、经济等相关专业优先；2、精通Excel/SQL，掌握1-2门统计语言：R/SAS/SPSS；3、熟悉APP各个环节，至少具备一款完整产品周期经验；4、熟悉Python者优先；5、良好的沟通和团队协作，主动积极解决难题的执行力。,15k-30k,D轮及以上,1,1,1,0,0,0,0,1,0,1
247,数据分析,拼多多,1000-9999人,上海 长宁区 天山路,本科,1-3年,数据分析师（用户增长）,[岗位职责] 1、对海量业务数据进行处理和分析，发现和跟踪其中的问题。能够从业务和产品的角度出发，利用数据发现产品、系统或是业务的瓶颈，并提出优化的方案2、分析海量用户行为数据，优化用户生命周期流程，提升用户规模3、利用数据挖掘，机器学习等技术解决实际问题，比如实现模块或流程自动化，业务报表系统的建设，离线数据流程的建设，数据可视化等 4、建立各种业务逻辑模型和数学模型，帮助公司改善运营管理，节省成本[任职要求] 1、计算机、数学、统计相关专业，本科及以上学历2、熟练掌握：mysql、hdfs/hive/数据库使用，较强的数据库及 SQL 能力，并对 Hadoop 技术体系有所了解和研究3、具备数据敏感性和探知欲、分析、解决问题的能力，能够承受工作中的压力，专注数据的价值发现和变现转化4、工作认真、负责、仔细，有良好的团队合作精神，良好的分析问题能力、沟通技巧及数据呈现能力[加分项]1、有数据挖掘、机器学习、信息检索、自然语言处理等研究背景2、有海量数据挖掘项目经验,20k-40k,已上市,0,1,0,0,1,0,0,0,1,0
248,数据分析,海风教育,1000-9999人,上海 普陀区 江宁路,本科,1-3年,数据分析师,岗位描述：1、对公司经营数据进行整理和分析，为业务部门提供精准的数据支持及业务分析；2、跟踪运营指标变化，解读异常数据，并跟踪解决方案的实施进度；3、根据业务发展需要，完成定期的分析报告或临时的分析需求，以供决策支持；4、配合业务部门的项目给予数据支持，或负责及参与跨部门等大型项目的推进获得结果5、不断完善数据体系和数据报表的和搭建维护；6、编写规范和项目文档；岗位要求：1、计算机或应用统计类本科及以上学历；2、具备数学、统计学、概率统计知识。；3、熟练进行SQL取数，能够独立完成基础的数据提取工作；4、具备扎实的Python编程功底，优秀的开发、调试能力；5、对数据敏感，具备独立分析能力，有良好的逻辑思维和定义以及解决问题的能力；6、优秀的沟通协调能力和团队精神，较强的学习研究能力、抗压能力；7、有用户画像搭建的项目经验者，或者参与过客服业务的数据挖掘项目的实施经验者优先。8、善于沟通与表达，能够用数据的方式向业务人员表述问题；9、自驱能力强，尊重自己和他人的时间，热爱学习与分享【福利待遇】?周末双休?工作日9：30-18：30?缴纳五险一金?每月餐补500元?舒适的办公环境?交通便利，13号线江宁路地铁3号口?逢年过节都为大家准备的节日礼物等惊喜，你准备好了吗,11k-15k,C轮,1,1,0,0,0,0,0,0,0,0
249,数据分析,东方数据,100-499人,上海 长宁区 虹桥,本科,1-3年,数据分析师,职位描述：1.数据库数据的提取及基础数据的预处理工作；2.从部门行业数据搜集、整理、分析，并依据数据给出行业研究、预测和评估报告；3.在工作中提炼和总结惯常数据分析方法，形成数据产品与工具，提升业务运营能力，特别是数据化运营能力，能独立完成专题分析项目。岗位要求：1.统计学、数学、计算机等相关专业本科及以上学历，但不拘泥于以上专业，具备3-5年互联网、咨询、传统行业的数据分析师背景的优先；2.熟练操作excel，常规函数、数据透视表、图表制作；3.熟悉Tableau、PowerBI、Echart中的一种或多种可视化工具；4.具备较强的数据分析能力和数据敏感性，精通sql/hql语句，能够编写复杂的sql/hql逻辑，熟悉至少一种数据分析工具，如spss、excel、R等，熟悉hadoop生态圈并具有相关使用经验；5.优秀的团队合作精神、诚实、勤奋、严谨，具有较强的沟通表达及组织协调能力；6.中共党员优先。,10k-15k,不需要融资,0,1,1,0,1,0,0,1,0,0
250,数据分析,金服银行科技中心,10000人以上,上海 浦东新区 源深体育中心,本科,3-5年,数据分析,岗位职责：1、 支持信用卡的产品分析、数据运营、专题分析等工作；2、 能够基于数据分析得到有价值的信息，为公司运营决策、产品方向、营销推广等提供数据支持，从数据分析和数据挖掘的角度为业务诉求、痛点及问题提供解决方案；3、负责海量用户行为分析研究，包括用户画像挖掘、行为预测；负责数据挖掘算法、机器学习实现、实验、优化等工作。 岗位要求：全日制本科及以上学历，数学、统计学、模式识别、人工智能、运筹学等相关专业优先，2年以上相关工作经验；具备数据挖掘、机器学习只是背景，拥有推荐系统、精准营销、信息检索等工作经验优先；熟练掌握至少一种语言，SAS、python或R；参与过完整的数据采集、清洗、数据整理、指标设计、数据分析和输出报告者优先；,18k-36k,已上市,1,0,1,0,0,0,0,0,0,1
251,数据分析,上海冰鉴,100-499人,上海 浦东新区 八佰伴,硕士,3-5年,数据分析师,"职责描述：1) 处理大型, 复杂性的数据，建立风险分析框架以及得到分析结果。根据分析结果预测金融行为和推荐商业决策；2) 向公司管理层汇报分析结果，提供决策支持；3) 与数据及建模人员密切沟通，与产品经理密切沟通，保证分析结果的准确有效性及可实现性；4) 适当参与跟客户的沟通，提供风险管理的专业意见。职位要求：1) 统计，数学，金融，经济学，计算机等相关专业本科及以上学历；2) 对金融领域的应用有兴趣，有机器学习等相关研发经验者优先；3) 对处理大量数据有兴趣，喜欢探索钻研，有独立思考的能力；4) 熟练掌握以下三种语言工具的一种或多种(R, SAS & Matlab，SQL)，熟练使用python者最佳；5) 能够快速学习新方法， 自我激励型，主动性和行动力强，注重细节和结果；6) 能够和其他同事以及上级有效沟通，注重团队合作，态度积极。",25k-50k,B轮,1,1,1,0,0,0,0,0,0,1
252,数据分析,携程旅行网,10000人以上,上海 长宁区 北新泾,本科,1-3年,数据分析,工作职责1. 制定业务策略并追踪完成情况，并根据业务的发展不定期调整；2. 通过对数据和业务的挖掘，持续给出优化、升级方案；3. 基于海量数据，发现数据规律，运用机器学习、统计学习等方法，进行深度数据挖掘工作，并探索更深层次的数据价值；4. 根据分析报告、竞品分析、市场环境变化，基于对业务的理解和大量数据特征，参与模型、产品建设和研究，提升用户体验和产品价值；职位要求1. 本科及以上学历，统计学、应用数学或计算机科学等相关专业背景优先考虑；2. 两年以上相关经验，具有出色的数据分析能力，熟练使用SAS/SPSS/Excel等分析工具；3. 有互联网行业，或酒店行业经验者优先；4. 有项目管理、流程控制经验者优先；5. 具备责任心和良好的团队协作精神，乐于沟通交流和分享，充满激情，乐于接受挑战。,9k-18k,已上市,0,0,0,0,0,0,0,1,0,1
253,数据分析,软通动力,10000人以上,上海 浦东新区 曹路,本科,应届生,数据分析,兴业银行数据中心岗位工作地址：浦东新区唐镇来安路500号负责数据监管，熟悉SQL，态度较好，稳定性好,6k-9k,已上市,0,1,0,0,0,0,0,0,0,0
254,数据分析,威马,1000-9999人,上海 青浦区 徐泾,本科,1-3年,数据分析师,职位描述：1，负责业务数据的统计、分析、预测等；2，针对部门业务，进行深入的专题分析研究 ；3，发现业务中的亮点和问题，提供相关数据分析以及结果报告；4，通过数据挖掘与分析，分析营销和运营相关业务数据，提供决策支持和业务洞察；职位要求： 1，2~3年数据分析、数据挖掘工作经验；2，掌握SAS/SPSS/R/Python等专业统计分析软件的一种或几种； 3，具有扎实的统计学知识，熟悉数据采集、整理、分析和建模的方法和流程；4，具备良好的逻辑分析能力、组织沟通和团队精神；5，数学、统计学、计算机等相关专业优先；,10k-20k,B轮,1,0,1,0,0,0,0,0,0,1
255,数据分析,东方购物,1000-9999人,上海 杨浦区 长阳路,本科,1-3年,数据分析,工作职责：1、负责公司所有业务线数据分析；2、负责网站流量、用户行为特征分析；3、通过数据挖掘建立模型和效果评估，后续监控和持续改进工作；4、建立和完善分析体系，将文档的过程和方法结果应用于各业务线产品，对产品和业务提供建设性建议，跟踪模型的实施，定期优化算法和业务策略。5、及时升级重大问题，并总结规律，避免以后再次发生；任职资格： 1、数学、统计、计算机及相关专业本科以上学历；2、2年以上数据分析或数据挖掘方面经验优先；3、具备复杂问题的分析及解决能力；4、熟悉一种或者几种数据分析方面的工具，比如Matlab、R、SPSS、SAS等，R优先；5、熟悉一种或者几种主流数据库，如Mysql、Oracle、SQL Serve，爬虫python 等；6、熟悉GA等流量统计统计；7、有互联网公司，旅游行业工作经验者优先；8、有数据挖掘项目实施经验者优先；,7k-10k,已上市,1,1,1,0,0,0,0,0,0,1
256,数据分析,软通动力,10000人以上,上海 浦东新区 梅园,大专,3-5年,数据分析,1、熟悉投资业务，有数据画像工作经验优先；? 2、熟悉主流分析算法如：聚类，分类，回归，文本处理等；有自然语言处理经验优先；             ? 4、熟悉Mongodb或hadoop等数据库，有金融大数据开发经验优先；? 5、熟练使用Python语言进行数据分析，或是R，Scala语言；? 6、熟悉软件技术文档的编写，具备良好的文档编制习惯和规范的代码书写；? 7、热爱技术工作，具有较强的团队协作意识，高度的责任感，对工作积极严谨，勇于承担责任。? 8、有较强的学习和理解能力，思路清晰，善于思考，能独立分析和解决问题。,10k-14k,已上市,1,0,1,0,1,0,0,0,0,0
257,数据分析,达达-京东到家,1000-9999人,上海 杨浦区 江浦路,本科,3-5年,数据分析师,数据分析相关经验3年以上，计算机、数学、统计学等相关专业毕业,20k-25k,D轮及以上,0,0,0,0,0,0,0,0,0,0
258,数据分析,上海伯俊,100-499人,上海 闵行区 莘庄,硕士,经验不限,数据分析,岗位职责：1.及时准确完成每周、月、年等各经营类数据分析工作，为全渠道运营决策提供建议；2.对各品牌销售进度、货品周转、库存预估，根据不同品牌的全渠道销售任务相近分析并得出结论；3.配合全渠道运营经理制定公司品牌的全年和全季的销售目标，并规划店铺全年全季的商品订货计划和上新计划；4.据店铺的销售目标、渠道，定期对店铺商品进行分析，保证店铺关于商品动销、新品占比、折扣率等KPI达标岗位要求：1.在品牌公司从事过数据分析相关工作2.曾经从事过商品分析、销售分析、经营分析工作经验者优先3.能够熟练的使用excel4.有较强的学习能力，吃苦耐劳5.硕士以上学历,7k-12k,A轮,0,0,0,0,0,0,0,1,0,0
259,数据分析,软通动力,10000人以上,上海 浦东新区 世纪公园,大专,3-5年,上海数据分析,职位要求：1. 良好的经济、金融学背景。2. 有过宏观策略，FICC相关经验或者行业研究经验。3. 扎实的统计学和计量经济学基础。4. 熟练使用python。项目亮点：平安陆金所海外平台业务+互联网金融+项目组团队有大数据部门+团队氛围好+加班强度少,10k-15k,已上市,1,0,0,0,0,0,0,0,0,0
260,数据分析,上海智帛,20-99人,上海 闵行区 漕宝路,大专,1-3年,数据分析,【岗位职责】：1、熟练掌握所负责系统的政策、促销、制度等信息，并根据相关政策、促销、制度等进行奖金计算、复合，提供奖金报表等；2、编写奖金程序开发需求文档，对接开发团队，并测试核算奖金程序核算结果；3、对接相关职能部门，分析提数报表需求，编写报表开发需求文档；4、负责数据提取及数据分析，完成提供给领导层或各相关部门的常规数据报表、专项数据报表、基础数据分析等；5、负责系统参数配置和测试，负责公司各类数据的核对、计算工作。【任职资格】：1、专科及以上学历，至少一年以上直销行业同等工作经验；2、了解直销行业知识，有良好的业务分析能力；3、沟通表达能力强，数学逻辑思维敏捷，数据敏感度高；4、熟练使用excel常用函数、SQL、数据透视功能等；5、诚实可信，严谨细致，具有高度的工作责任心和团队精神，有良好的职业道德和职业操守；,9k-11k,未融资,0,1,0,0,0,0,0,1,0,0
261,数据分析,达达-京东到家,1000-9999人,上海 杨浦区 江浦路,本科,5-10年,数据分析专家,"岗位职责：1.定期追踪公司关键指标,并从业务层面解析开展情况,洞察业务动作，提出指导改进策略。2.基于对业务的深度理解,通过数据挖掘与分析,针对公司关键指标以及运营各业务线输出专项分析报告,及时发现问题,为运营决策、用户营销等提供决策支持和优化方向。?3.搭建数据分析体系，为公司制定和提升数据应用的价值4.根据具体业务需要，对业务策略、产品优化提供数据支持岗位要求：1.本科以上学历，统计、数学、计算机相关专业优先2.具有5年以上数据分析经验，有互联网经验优先3.精通SQL、Excel等，熟悉Python；了解SAS、SPSS、R等优先4.工作严谨，责任心强，有较强的沟通技巧，善于从数据中发现、分析问题；思路清晰，逻辑性强，能独立分析问题和解决问题。",20k-40k,D轮及以上,1,1,1,0,0,0,0,1,0,1
262,数据分析,贝壳找房,10000人以上,上海 黄浦区 打浦桥,本科,3-5年,数据分析师,职位描述：工作职责:1. 基于企业运营、行业洞察、技术热点，策划研究课题，完成数据的提取、清洗、分析、验证，通过数据提炼分析观点，撰写分析报告。2. 沉淀分析思路与框架，归纳数据产品需求，设计数据产品或其它工具，并具备一定的工具实施落地落能力，推动数据产品建设和行业科学管理变革。3. 引领团队探索新思路、新技术；完善共享知识库，对内外部进行数据分析工具、分析方法的赋能。4. 对公众输出具备行业视野的分析课题和分析观点，定期撰写研究院公众号文章，建设一定学术影响力和行业影响力任职资格:1. 985院校或海外经管类、理工类、社科类硕士及以上学历，3年以上商业分析或数据分析相关工作经历。2. 具有深厚的数学、统计学功底和计算机相关知识，精通SQL等数据查询语言及SAS、R等统计分析软件。3. 能有效地与需求方沟通、提炼需求，独立完成完整的商业分析报告或咨询项目，并推动分析结果落地实施。4. 有个人影响力、极强的沟通能力、复杂问题的解决能力，以结果为导向，能跨团队合作完成各类研究课题,20k-40k,C轮,0,1,1,0,0,0,0,0,0,1
263,数据分析,爱回收,1000-9999人,上海 宝山区 张庙,本科,1-3年,数据分析,岗位职责：1）负责每周/每日部门数据汇总并简单分析，从日常数据中发现问题推动问题解决2）协助数据需求整理，对于部门提报需求进行审核评判3）协助物料采购相关事项，例如供应商样品对比，对账核账报销整理4）监控全国订单到货情况，调整各地货量是否按照预期执行5）完成上级交办的其他工作任职资格：1）本科生，有数据分析或物料采购管理等工作经验者优先2）踏实仔细，善于沟通，有上进心与好奇心3）实习过数据分析或物料采购管理等岗位者优先4）excel专精，熟练使用vlookup，sumif，switch，countif函数,6k-9k,D轮及以上,0,0,0,0,0,0,0,1,0,0
264,数据分析,软通动力,10000人以上,上海 徐汇区 龙华,大专,1-3年,数据分析工程师,"工作职责:1、 根据项目的开发需求负责项目的数据分析及应用开发2、 参与各种项目开发环节，提供数据库应用解决方案3、 根据用户需求或产品功能进行模块细部设计与数据平台功能开发4、 对接各产品, 用户端系统, 或其它第三方平台，完成数据集成工作；任职资格:1、 本科及以上学历，3年以上数据挖掘开发经验2、 对数据处理、数据建模、数据分析有深刻认识和实战经验3、 熟悉Java,SQL，Python, Shell，MapReduce等编程4、 熟悉MangoDB, MySql等数据库应用5、 具备 Hadoop/HBase/Spark/Flink使用经验者优先6、 能够积极创新， 乐于面对挑战， 负责敬业。优秀的团队合作精神",10k-15k,已上市,1,1,0,1,1,0,1,0,0,0
265,数据分析,游族网络,1000-9999人,上海 徐汇区 田林,本科,3-5年,数据分析师,工作职责1、对部门日志数据进行清理、整合；2、对各种数据进行分析有洞察力的分析；3、针对既定商业目标进行建模；4、协助大数据工程师进行产品化。任职资格1、数据分析工作经验3年及以上，有丰富数据建模经验，包括分类、推荐、预测、文本分类等；2、有数据ETL实现能力及较强的coding能力，掌握R或是Python（统计包）等统计工具，熟练掌握SQL，熟悉linux/shell基本功能；3、有hive使用经验优先，有技术BI、大数据相关工作经验优先，对spark mllib 有了解优先；4、具备良好的数据和商业敏感度、优秀的逻辑思维能力，乐于从纷繁的数据中寻找业务规律，较好的商业洞察力。,15k-30k,已上市,1,1,1,0,0,0,1,0,1,0
266,数据分析,Innotech,500-999人,上海 浦东新区 张江,本科,经验不限,数据分析师,"岗位职责：1 与业务方沟通相关需求，并独立承担基础数据处理、报表开发、数据调研分析等数据工作；2 进行商业数据分析、理顺业务数据链路和指标框架、发展期的业务数据分析等，深入专题分析，为公司互联网业务的运营决策 提供数据支持；3 对日常运营数据监控和分析， 数据清洗与处理，数据报表的维护和搭建；岗位要求：1 本科或硕士以上学历，计算机、统计、数学相关专业2 熟悉SQL/数据库/hive，精通R/python进行数据分析3 了解Tableau等BI工具4 有较好的团队精神、沟通能力，工作细致认真5 相关工作经验, 了解互联网业务数据 或在互联网公司工作过优先",20k-39k,不需要融资,1,1,1,0,0,0,0,0,1,0
